task_id,hostname,cpu_model,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,perc_cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,aoi_num
1325,-,AMD EPYC 7282 16-Core Processor,44/063bb7,3456235,networkAnalysis,-,networkAnalysis (165),COMPLETED,0,-,fondahub/iwd:latest,2,-,-,314572800,1,1716900000000.0,1716900000000.0,1716900000000.0,2902,2176,-,161.4,0.0,64679936,1268043776,64688128,1558958080,17627256,1272194,3156,351,761856,1335296,11,104,/home/ubuntu/IWD_graph_analysis/work/44/063bb71519ee32a65abd283378f692,-,-,165
1326,-,AMD EPYC 7282 16-Core Processor,03/6ff0f7,3458423,graphToShapefile,-,graphToShapefile (165),COMPLETED,0,-,fondahub/iwd:latest,2,-,-,314572800,1,1716900000000.0,1716900000000.0,1716900000000.0,2763,2081,-,150.0,0.1,159928320,1680908288,159936512,1680961536,26171191,2666646,6831,4764,0,2650112,1,104,/home/ubuntu/IWD_graph_analysis/work/03/6ff0f71170227d6799ae81c34410d6,-,-,165
1327,-,AMD EPYC 7282 16-Core Processor,52/6fafc4,3467672,networkAnalysis,-,networkAnalysis (166),COMPLETED,0,-,fondahub/iwd:latest,2,-,-,314572800,1,1716900000000.0,1716900000000.0,1716900000000.0,2685,2011,-,185.6,0.0,65638400,1268711424,65642496,1558958080,17692822,1354175,3165,371,790528,1417216,14,110,/home/ubuntu/IWD_graph_analysis/work/52/6fafc43fe27dc86c858c5d89342a66,-,-,166
1328,-,AMD EPYC 7282 16-Core Processor,51/a6a2a0,3469632,graphToShapefile,-,graphToShapefile (166),COMPLETED,0,-,fondahub/iwd:latest,2,-,-,314572800,1,1716900000000.0,1716900000000.0,1716900000000.0,3079,2231,-,167.6,0.1,160559104,1681240064,167755776,1697042432,26995759,2868006,7139,5097,0,2846720,2,217,/home/ubuntu/IWD_graph_analysis/work/51/a6a2a0667143c364cba3f666c6a6c0,-,-,166
834,-,AMD EPYC 7282 16-Core Processor,40/b755bd,3471417,transectAnalysis,-,transectAnalysis (170),COMPLETED,0,-,fondahub/iwd:latest,10,-,-,4294967296,1,1716900000000.0,1716900000000.0,1716900000000.0,123028,122416,-,212.6,2.1,1779953664,8823435264,1779974144,9274003456,268930372,10791718,35676,1342,1310720,2609152,142,24741,/home/ubuntu/IWD_graph_analysis/work/40/b755bde2bd42a7f4f9c43af3fd0bcb,-,-,170
1335,-,AMD EPYC 7282 16-Core Processor,6c/12e17b,3512744,networkAnalysis,-,networkAnalysis (170),COMPLETED,0,-,fondahub/iwd:latest,2,-,-,314572800,1,1716900000000.0,1716900000000.0,1716900000000.0,2409,1724,-,196.5,0.0,64274432,1267646464,64282624,1558958080,16823010,399298,3023,122,249856,462848,12,107,/home/ubuntu/IWD_graph_analysis/work/6c/12e17be6ab69766a9b10dd470d42c7,-,-,170
1336,-,AMD EPYC 7282 16-Core Processor,b3/2e25b6,3514761,graphToShapefile,-,graphToShapefile (170),COMPLETED,0,-,fondahub/iwd:latest,2,-,-,314572800,1,1716900000000.0,1716900000000.0,1716900000000.0,1688,994,-,208.3,0.0,11665408,17047552,11673600,17100800,18328356,788257,3745,1535,0,798720,1,5,/home/ubuntu/IWD_graph_analysis/work/b3/2e25b690dfa0ea5b03771515f27014,-,-,170
836,-,AMD EPYC 7282 16-Core Processor,73/4a68b6,3491245,transectAnalysis,-,transectAnalysis (172),COMPLETED,0,-,fondahub/iwd:latest,10,-,-,4294967296,1,1716900000000.0,1716900000000.0,1716900000000.0,78335,77671,-,451.8,2.1,1837670400,8883757056,1837690880,9273151488,283892769,28485496,37863,2677,3592192,6266880,269,32864,/home/ubuntu/IWD_graph_analysis/work/73/4a68b60dba179e1feac04cead06709,-,-,172
1339,-,AMD EPYC 7282 16-Core Processor,64/74525c,3537954,networkAnalysis,-,networkAnalysis (172),COMPLETED,0,-,fondahub/iwd:latest,2,-,-,314572800,1,1716900000000.0,1716900000000.0,1716900000000.0,2722,2037,-,182.6,0.0,64999424,1268441088,65007616,1558958080,17670066,1322788,3164,362,786432,1388544,13,109,/home/ubuntu/IWD_graph_analysis/work/64/74525c3bc00d3b3e388564f09025ad,-,-,172
1340,-,AMD EPYC 7282 16-Core Processor,56/bcf8bb,3539872,graphToShapefile,-,graphToShapefile (172),COMPLETED,0,-,fondahub/iwd:latest,2,-,-,314572800,1,1716900000000.0,1716900000000.0,1716900000000.0,3360,2587,-,122.3,0.1,167460864,1685999616,167469056,1696796672,26631610,2782225,7005,4948,0,2760704,1,213,/home/ubuntu/IWD_graph_analysis/work/56/bcf8bb905314c38bcb981d34d5f1c2,-,-,172
845,-,AMD EPYC 7282 16-Core Processor,1c/c8a12c,3665649,transectAnalysis,-,transectAnalysis (181),COMPLETED,0,-,fondahub/iwd:latest,10,-,-,4294967296,1,1716900000000.0,1716900000000.0,1716900000000.0,298021,297393,-,264.1,2.1,1800245248,8845766656,1800265728,9273372672,273834310,16517631,36398,1787,2072576,3796992,357,73611,/home/ubuntu/IWD_graph_analysis/work/1c/c8a12ca2645136b3a7db6bafc3b05c,-,-,181
1357,-,AMD EPYC 7282 16-Core Processor,72/ae3216,3784378,networkAnalysis,-,networkAnalysis (181),COMPLETED,0,-,fondahub/iwd:latest,2,-,-,314572800,1,1716900000000.0,1716900000000.0,1716900000000.0,2658,1965,-,183.7,0.0,65073152,1268449280,65081344,1558958080,17564109,1222637,3145,338,716800,1286144,12,115,/home/ubuntu/IWD_graph_analysis/work/72/ae321677e4bcf5dc73b7e85ff43939,-,-,181
