task_id,hostname,cpu_model,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,perc_cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,aoi_num
34,-,AMD Ryzen 7 PRO 7840U w/ Radeon 780M Graphics,37/bb83ff,27476,demToGraph,-,demToGraph (34),COMPLETED,0,-,fondahub/iwd:latest,1,-,-,524288000,1,1716830000000.0,1716830000000.0,1716830000000.0,9425,8452,-,97.0,0.5,303718400,1961779200,303718400,2119843840,30862585,3325884,5352,267,0,3428352,30,2654,/home/joba/PycharmProjects/IWD_graph_analysis/work/37/bb83ff4c6e081a0df2d02ab4e9ba9a,-,-,34
33,-,AMD Ryzen 7 PRO 7840U w/ Radeon 780M Graphics,31/344131,28030,demToGraph,-,demToGraph (33),COMPLETED,0,-,fondahub/iwd:latest,1,-,-,524288000,1,1716830000000.0,1716830000000.0,1716830000000.0,9250,7771,-,92.6,0.4,289296384,1961779200,289296384,2119839744,30871319,1604967,5355,96,0,1708032,27,2227,/home/joba/PycharmProjects/IWD_graph_analysis/work/31/344131ddb6a7160c89a23658aeba7a,-,-,33
41,-,AMD Ryzen 7 PRO 7840U w/ Radeon 780M Graphics,69/67c0e1,28835,demToGraph,-,demToGraph (41),COMPLETED,0,-,fondahub/iwd:latest,1,-,-,524288000,1,1716830000000.0,1716830000000.0,1716830000000.0,9301,7754,-,91.2,0.4,291266560,1961779200,291266560,2119835648,30870151,2222300,5355,130,0,2326528,11,2606,/home/joba/PycharmProjects/IWD_graph_analysis/work/69/67c0e1b25e6a8c8a494e6737452f6f,-,-,41
47,-,AMD Ryzen 7 PRO 7840U w/ Radeon 780M Graphics,84/254345,29678,demToGraph,-,demToGraph (47),COMPLETED,0,-,fondahub/iwd:latest,1,-,-,524288000,1,1716830000000.0,1716830000000.0,1716830000000.0,8827,7679,-,89.9,0.4,290140160,1958715392,290140160,2119839744,30873556,2048451,5355,113,0,2146304,16,1914,/home/joba/PycharmProjects/IWD_graph_analysis/work/84/25434501a1829f813e38ba920e350e,-,-,47
43,-,AMD Ryzen 7 PRO 7840U w/ Radeon 780M Graphics,e2/d1b802,29034,demToGraph,-,demToGraph (43),COMPLETED,0,-,fondahub/iwd:latest,1,-,-,524288000,1,1716830000000.0,1716830000000.0,1716830000000.0,9393,7903,-,89.0,0.4,291950592,1954816000,291950592,2119843840,30862590,2814709,5352,150,0,2920448,16,1679,/home/joba/PycharmProjects/IWD_graph_analysis/work/e2/d1b802a516f8c581c74825de6bde96,-,-,43
44,-,AMD Ryzen 7 PRO 7840U w/ Radeon 780M Graphics,3d/e7d005,29233,demToGraph,-,demToGraph (44),COMPLETED,0,-,fondahub/iwd:latest,1,-,-,524288000,1,1716830000000.0,1716830000000.0,1716830000000.0,9369,7924,-,91.6,0.4,294223872,1977176064,294223872,2119839744,30862590,2982070,5352,189,0,3084288,19,2078,/home/joba/PycharmProjects/IWD_graph_analysis/work/3d/e7d0055e0c8b7508662c047eb0cdda,-,-,44
40,-,AMD Ryzen 7 PRO 7840U w/ Radeon 780M Graphics,f6/d6b243,28328,demToGraph,-,demToGraph (40),COMPLETED,0,-,fondahub/iwd:latest,1,-,-,524288000,1,1716830000000.0,1716830000000.0,1716830000000.0,10501,9200,-,92.5,0.5,306528256,1956118528,312029184,2119843840,30862590,3535418,5352,315,0,3649536,20,3147,/home/joba/PycharmProjects/IWD_graph_analysis/work/f6/d6b2436d77c3d32947dea5271da721,-,-,40
42,-,AMD Ryzen 7 PRO 7840U w/ Radeon 780M Graphics,cf/806f9a,28917,demToGraph,-,demToGraph (42),COMPLETED,0,-,fondahub/iwd:latest,1,-,-,524288000,1,1716830000000.0,1716830000000.0,1716830000000.0,10392,9025,-,92.8,0.5,305754112,1968033792,312500224,2119839744,30862586,3580911,5352,326,0,3682304,16,3074,/home/joba/PycharmProjects/IWD_graph_analysis/work/cf/806f9a4a47b4cf7b28ecca0e1c1e07,-,-,42
45,-,AMD Ryzen 7 PRO 7840U w/ Radeon 780M Graphics,98/29e232,29439,demToGraph,-,demToGraph (45),COMPLETED,0,-,fondahub/iwd:latest,1,-,-,524288000,1,1716830000000.0,1716830000000.0,1716830000000.0,10333,9033,-,88.7,0.5,303656960,1893912576,308109312,2119843840,30862591,3460895,5352,298,0,3567616,23,2973,/home/joba/PycharmProjects/IWD_graph_analysis/work/98/29e2324e62f97a32a8e6a5dbd7fb54,-,-,45
48,-,AMD Ryzen 7 PRO 7840U w/ Radeon 780M Graphics,f3/2a8abd,35584,demToGraph,-,demToGraph (48),COMPLETED,0,-,fondahub/iwd:latest,1,-,-,524288000,1,1716830000000.0,1716830000000.0,1716830000000.0,8748,7898,-,87.8,0.4,290668544,1954811904,290668544,2119839744,30869703,2783965,5355,151,0,2883584,12,2297,/home/joba/PycharmProjects/IWD_graph_analysis/work/f3/2a8abde551c59c175a746e704a9cab,-,-,48
